;FIN_FINANCIALCONTRACTID;FIN_SOURCESYSTEM;SEQUENCENUMBER3;BUSINESSPARTNERID2;ISMAINCARD2;CARDSTATUS2;APPLICATIONDATE2;APPROVALDATE2;ISSUEDATE2;DEBITCARDAGREEMENT_1;BUSINESSPARTNER_1
259;100001579;CARDSYSTEM;1;6579;1;active;04.12.2015;04.12.2015;13.12.2015;100001579;6579
260;100001580;CARDSYSTEM;1;6580;1;active;26.04.2013;26.04.2013;01.05.2013;100001580;6580
261;100001581;CARDSYSTEM;1;6581;1;active;23.05.2017;23.05.2017;31.05.2017;100001581;6581
262;100001057;CARDSYSTEM;1;6057;1;active;16.12.2014;16.12.2014;23.12.2014;100001057;6057
263;100001058;CARDSYSTEM;1;6058;1;active;07.10.2016;07.10.2016;14.10.2016;100001058;6058
264;100001059;CARDSYSTEM;1;6059;1;active;24.07.2013;24.07.2013;02.08.2013;100001059;6059
265;100001060;CARDSYSTEM;1;6060;1;active;03.03.2016;03.03.2016;08.03.2016;100001060;6060
266;100001061;CARDSYSTEM;1;6061;1;active;08.01.2014;08.01.2014;13.01.2014;100001061;6061
267;100001062;CARDSYSTEM;1;6062;1;active;09.05.2013;09.05.2013;18.05.2013;100001062;6062
268;100001063;CARDSYSTEM;1;6063;1;active;17.04.2014;17.04.2014;23.04.2014;100001063;6063
269;100001064;CARDSYSTEM;1;6064;1;active;14.05.2014;14.05.2014;19.05.2014;100001064;6064
270;100001065;CARDSYSTEM;1;6065;1;active;11.11.2016;11.11.2016;18.11.2016;100001065;6065
271;100001066;CARDSYSTEM;1;6066;1;active;14.07.2014;14.07.2014;23.07.2014;100001066;6066
272;100001067;CARDSYSTEM;1;6067;1;active;05.06.2017;05.06.2017;14.06.2017;100001067;6067
273;100000529;CARDSYSTEM;1;5529;1;active;16.11.2016;16.11.2016;21.11.2016;100000529;5529
274;100001068;CARDSYSTEM;1;6068;1;active;17.06.2016;17.06.2016;23.06.2016;100001068;6068
275;100000530;CARDSYSTEM;1;5530;1;active;25.05.2016;25.05.2016;02.06.2016;100000530;5530
276;100001069;CARDSYSTEM;1;6069;1;active;24.06.2015;24.06.2015;01.07.2015;100001069;6069
277;100000531;CARDSYSTEM;1;5531;1;active;13.09.2016;13.09.2016;20.09.2016;100000531;5531
278;100000793;CARDSYSTEM;1;5793;1;active;20.11.2014;20.11.2014;27.11.2014;100000793;5793
279;100001070;CARDSYSTEM;1;6070;1;active;30.09.2014;30.09.2014;08.10.2014;100001070;6070
280;100000532;CARDSYSTEM;1;5532;1;active;27.04.2012;27.04.2012;04.05.2012;100000532;5532
281;100001071;CARDSYSTEM;1;6071;1;active;08.09.2016;08.09.2016;14.09.2016;100001071;6071
282;100000794;CARDSYSTEM;1;5794;1;active;10.09.2013;10.09.2013;15.09.2013;100000794;5794
283;100000533;CARDSYSTEM;1;5533;1;active;13.06.2015;13.06.2015;19.06.2015;100000533;5533
284;100001072;CARDSYSTEM;1;6072;1;active;17.12.2013;17.12.2013;25.12.2013;100001072;6072
285;100000795;CARDSYSTEM;1;5795;1;active;07.09.2015;07.09.2015;14.09.2015;100000795;5795
286;100001073;CARDSYSTEM;1;6073;1;active;20.05.2012;20.05.2012;28.05.2012;100001073;6073
287;100000534;CARDSYSTEM;1;5534;1;active;11.03.2017;11.03.2017;16.03.2017;100000534;5534
288;100000796;CARDSYSTEM;1;5796;1;active;14.05.2015;14.05.2015;21.05.2015;100000796;5796
289;100001074;CARDSYSTEM;1;6074;1;active;06.09.2013;06.09.2013;12.09.2013;100001074;6074
290;100000535;CARDSYSTEM;1;5535;1;active;14.07.2016;14.07.2016;19.07.2016;100000535;5535
291;100000797;CARDSYSTEM;1;5797;1;active;12.03.2012;12.03.2012;20.03.2012;100000797;5797
292;100001075;CARDSYSTEM;1;6075;1;active;07.01.2015;07.01.2015;13.01.2015;100001075;6075
293;100000536;CARDSYSTEM;1;5536;1;active;24.05.2016;24.05.2016;31.05.2016;100000536;5536
294;100000798;CARDSYSTEM;1;5798;1;active;19.02.2012;19.02.2012;27.02.2012;100000798;5798
295;100001076;CARDSYSTEM;1;6076;1;active;07.06.2015;07.06.2015;16.06.2015;100001076;6076
296;100000537;CARDSYSTEM;1;5537;1;active;28.07.2016;28.07.2016;06.08.2016;100000537;5537
297;100000799;CARDSYSTEM;1;5799;1;active;20.10.2016;20.10.2016;26.10.2016;100000799;5799
298;100001077;CARDSYSTEM;1;6077;1;active;13.06.2016;13.06.2016;20.06.2016;100001077;6077
299;100000538;CARDSYSTEM;1;5538;1;active;19.06.2012;19.06.2012;28.06.2012;100000538;5538
300;100001078;CARDSYSTEM;1;6078;1;active;24.07.2013;24.07.2013;29.07.2013;100001078;6078
301;100000800;CARDSYSTEM;1;5800;1;active;16.07.2016;16.07.2016;24.07.2016;100000800;5800
302;100000539;CARDSYSTEM;1;5539;1;active;07.08.2015;07.08.2015;13.08.2015;100000539;5539
303;100001079;CARDSYSTEM;1;6079;1;active;15.08.2014;15.08.2014;21.08.2014;100001079;6079
304;100000801;CARDSYSTEM;1;5801;1;active;14.08.2015;14.08.2015;20.08.2015;100000801;5801
305;100000540;CARDSYSTEM;1;5540;1;active;25.10.2013;25.10.2013;01.11.2013;100000540;5540
306;100001080;CARDSYSTEM;1;6080;1;active;24.07.2014;24.07.2014;29.07.2014;100001080;6080
307;100000802;CARDSYSTEM;1;5802;1;active;10.04.2014;10.04.2014;17.04.2014;100000802;5802
308;100000541;CARDSYSTEM;1;5541;1;active;13.04.2016;13.04.2016;18.04.2016;100000541;5541
309;100001081;CARDSYSTEM;1;6081;1;active;20.03.2016;20.03.2016;29.03.2016;100001081;6081
310;100000803;CARDSYSTEM;1;5803;1;active;08.04.2017;08.04.2017;13.04.2017;100000803;5803
311;100000542;CARDSYSTEM;1;5542;1;active;30.12.2014;30.12.2014;08.01.2015;100000542;5542
312;100001082;CARDSYSTEM;1;6082;1;active;22.06.2015;22.06.2015;29.06.2015;100001082;6082
313;100000804;CARDSYSTEM;1;5804;1;active;17.12.2014;17.12.2014;22.12.2014;100000804;5804
314;100001083;CARDSYSTEM;1;6083;1;active;07.04.2017;07.04.2017;14.04.2017;100001083;6083
315;100000543;CARDSYSTEM;1;5543;1;active;20.04.2012;20.04.2012;28.04.2012;100000543;5543
316;100000805;CARDSYSTEM;1;5805;1;active;17.10.2014;17.10.2014;24.10.2014;100000805;5805
317;100001084;CARDSYSTEM;1;6084;1;active;28.03.2016;28.03.2016;04.04.2016;100001084;6084
318;100000544;CARDSYSTEM;1;5544;1;active;24.11.2012;24.11.2012;01.12.2012;100000544;5544
319;100000806;CARDSYSTEM;1;5806;1;active;24.12.2012;24.12.2012;29.12.2012;100000806;5806
320;100001085;CARDSYSTEM;1;6085;1;active;07.09.2016;07.09.2016;13.09.2016;100001085;6085
321;100000545;CARDSYSTEM;1;5545;1;active;21.06.2014;21.06.2014;27.06.2014;100000545;5545
322;100000807;CARDSYSTEM;1;5807;1;active;10.04.2013;10.04.2013;16.04.2013;100000807;5807
323;100001086;CARDSYSTEM;1;6086;1;active;13.01.2014;13.01.2014;19.01.2014;100001086;6086
324;100000808;CARDSYSTEM;1;5808;1;active;07.05.2014;07.05.2014;12.05.2014;100000808;5808
325;100000546;CARDSYSTEM;1;5546;1;active;16.01.2015;16.01.2015;21.01.2015;100000546;5546
326;100001087;CARDSYSTEM;1;6087;1;active;26.01.2016;26.01.2016;03.02.2016;100001087;6087
327;100001088;CARDSYSTEM;1;6088;1;active;26.10.2012;26.10.2012;03.11.2012;100001088;6088
328;100000547;CARDSYSTEM;1;5547;1;active;13.09.2016;13.09.2016;20.09.2016;100000547;5547
329;100000809;CARDSYSTEM;1;5809;1;active;23.09.2012;23.09.2012;01.10.2012;100000809;5809
330;100001089;CARDSYSTEM;1;6089;1;active;18.09.2012;18.09.2012;23.09.2012;100001089;6089
331;100000810;CARDSYSTEM;1;5810;1;active;02.09.2015;02.09.2015;07.09.2015;100000810;5810
332;100000548;CARDSYSTEM;1;5548;1;active;19.04.2012;19.04.2012;28.04.2012;100000548;5548
333;100001090;CARDSYSTEM;1;6090;1;active;12.01.2017;12.01.2017;17.01.2017;100001090;6090
334;100000811;CARDSYSTEM;1;5811;1;active;14.04.2014;14.04.2014;22.04.2014;100000811;5811
335;100000549;CARDSYSTEM;1;5549;1;active;17.02.2013;17.02.2013;26.02.2013;100000549;5549
336;100001091;CARDSYSTEM;1;6091;1;active;25.05.2013;25.05.2013;03.06.2013;100001091;6091
337;100000550;CARDSYSTEM;1;5550;1;active;09.10.2013;09.10.2013;18.10.2013;100000550;5550
338;100000812;CARDSYSTEM;1;5812;1;active;24.06.2012;24.06.2012;30.06.2012;100000812;5812
339;100001092;CARDSYSTEM;1;6092;1;active;31.08.2014;31.08.2014;05.09.2014;100001092;6092
340;100000551;CARDSYSTEM;1;5551;1;active;31.05.2012;31.05.2012;09.06.2012;100000551;5551
341;100000813;CARDSYSTEM;1;5813;1;active;17.10.2015;17.10.2015;22.10.2015;100000813;5813
342;100001093;CARDSYSTEM;1;6093;1;active;01.09.2014;01.09.2014;08.09.2014;100001093;6093
343;100000814;CARDSYSTEM;1;5814;1;active;15.04.2013;15.04.2013;24.04.2013;100000814;5814
344;100000552;CARDSYSTEM;1;5552;1;active;17.12.2013;17.12.2013;25.12.2013;100000552;5552
345;100001094;CARDSYSTEM;1;6094;1;active;31.08.2013;31.08.2013;06.09.2013;100001094;6094
346;100000553;CARDSYSTEM;1;5553;1;active;16.07.2016;16.07.2016;21.07.2016;100000553;5553
347;100001095;CARDSYSTEM;1;6095;1;active;07.04.2016;07.04.2016;16.04.2016;100001095;6095
348;100000815;CARDSYSTEM;1;5815;1;active;18.01.2015;18.01.2015;24.01.2015;100000815;5815
349;100001096;CARDSYSTEM;1;6096;1;active;30.10.2016;30.10.2016;04.11.2016;100001096;6096
350;100000816;CARDSYSTEM;1;5816;1;active;09.05.2017;09.05.2017;15.05.2017;100000816;5816
351;100000554;CARDSYSTEM;1;5554;1;active;09.09.2016;09.09.2016;14.09.2016;100000554;5554
352;100001097;CARDSYSTEM;1;6097;1;active;01.12.2012;01.12.2012;10.12.2012;100001097;6097
353;100000817;CARDSYSTEM;1;5817;1;active;02.02.2016;02.02.2016;08.02.2016;100000817;5817
354;100000555;CARDSYSTEM;1;5555;1;active;21.09.2013;21.09.2013;29.09.2013;100000555;5555
355;100001098;CARDSYSTEM;1;6098;1;active;08.04.2014;08.04.2014;13.04.2014;100001098;6098
356;100000265;CARDSYSTEM;1;5265;1;active;19.01.2016;19.01.2016;26.01.2016;100000265;5265
357;100000818;CARDSYSTEM;1;5818;1;active;11.11.2015;11.11.2015;19.11.2015;100000818;5818
358;100000556;CARDSYSTEM;1;5556;1;active;02.05.2014;02.05.2014;09.05.2014;100000556;5556
359;100001099;CARDSYSTEM;1;6099;1;active;09.11.2013;09.11.2013;18.11.2013;100001099;6099
360;100000819;CARDSYSTEM;1;5819;1;active;24.01.2013;24.01.2013;30.01.2013;100000819;5819
361;100000557;CARDSYSTEM;1;5557;1;active;14.03.2013;14.03.2013;20.03.2013;100000557;5557
362;100001100;CARDSYSTEM;1;6100;1;active;22.03.2012;22.03.2012;28.03.2012;100001100;6100
363;100000266;CARDSYSTEM;1;5266;1;active;04.02.2015;04.02.2015;12.02.2015;100000266;5266
364;100000558;CARDSYSTEM;1;5558;1;active;26.06.2015;26.06.2015;03.07.2015;100000558;5558
365;100000820;CARDSYSTEM;1;5820;1;active;20.08.2015;20.08.2015;29.08.2015;100000820;5820
366;100001101;CARDSYSTEM;1;6101;1;active;12.04.2013;12.04.2013;21.04.2013;100001101;6101
367;100000267;CARDSYSTEM;1;5267;1;active;27.09.2013;27.09.2013;04.10.2013;100000267;5267
368;100000559;CARDSYSTEM;1;5559;1;active;12.04.2012;12.04.2012;17.04.2012;100000559;5559
369;100001102;CARDSYSTEM;1;6102;1;active;05.09.2012;05.09.2012;11.09.2012;100001102;6102
370;100000821;CARDSYSTEM;1;5821;1;active;19.07.2014;19.07.2014;24.07.2014;100000821;5821
371;100000268;CARDSYSTEM;1;5268;1;active;31.12.2014;31.12.2014;09.01.2015;100000268;5268
372;100000560;CARDSYSTEM;1;5560;1;active;06.02.2017;06.02.2017;11.02.2017;100000560;5560
373;100001103;CARDSYSTEM;1;6103;1;active;12.10.2015;12.10.2015;17.10.2015;100001103;6103
374;100000822;CARDSYSTEM;1;5822;1;active;02.05.2014;02.05.2014;11.05.2014;100000822;5822
375;100000269;CARDSYSTEM;1;5269;1;active;21.03.2014;21.03.2014;28.03.2014;100000269;5269
376;100001104;CARDSYSTEM;1;6104;1;active;08.02.2015;08.02.2015;16.02.2015;100001104;6104
377;100000561;CARDSYSTEM;1;5561;1;active;28.03.2015;28.03.2015;05.04.2015;100000561;5561
378;100000823;CARDSYSTEM;1;5823;1;active;07.03.2015;07.03.2015;12.03.2015;100000823;5823
379;100000270;CARDSYSTEM;1;5270;1;active;01.09.2013;01.09.2013;10.09.2013;100000270;5270
380;100000562;CARDSYSTEM;1;5562;1;active;01.06.2013;01.06.2013;09.06.2013;100000562;5562
381;100001105;CARDSYSTEM;1;6105;1;active;14.09.2013;14.09.2013;21.09.2013;100001105;6105
382;100000824;CARDSYSTEM;1;5824;1;active;26.02.2014;26.02.2014;04.03.2014;100000824;5824
383;100000271;CARDSYSTEM;1;5271;1;active;10.06.2013;10.06.2013;19.06.2013;100000271;5271
384;100000563;CARDSYSTEM;1;5563;1;active;22.06.2016;22.06.2016;01.07.2016;100000563;5563
385;100000825;CARDSYSTEM;1;5825;1;active;18.05.2016;18.05.2016;26.05.2016;100000825;5825
386;100000272;CARDSYSTEM;1;5272;1;active;20.12.2016;20.12.2016;28.12.2016;100000272;5272
387;100001106;CARDSYSTEM;1;6106;1;active;01.01.2014;01.01.2014;10.01.2014;100001106;6106
388;100000273;CARDSYSTEM;1;5273;1;active;13.04.2013;13.04.2013;22.04.2013;100000273;5273
389;100000826;CARDSYSTEM;1;5826;1;active;25.04.2012;25.04.2012;30.04.2012;100000826;5826
390;100001107;CARDSYSTEM;1;6107;1;active;22.12.2013;22.12.2013;31.12.2013;100001107;6107
391;100000274;CARDSYSTEM;1;5274;1;active;01.10.2012;01.10.2012;08.10.2012;100000274;5274
392;100000827;CARDSYSTEM;1;5827;1;active;25.07.2013;25.07.2013;03.08.2013;100000827;5827
393;100000275;CARDSYSTEM;1;5275;1;active;30.05.2012;30.05.2012;07.06.2012;100000275;5275
394;100001108;CARDSYSTEM;1;6108;1;active;16.04.2016;16.04.2016;21.04.2016;100001108;6108
395;100000276;CARDSYSTEM;1;5276;1;active;11.10.2014;11.10.2014;16.10.2014;100000276;5276
396;100000828;CARDSYSTEM;1;5828;1;active;25.08.2016;25.08.2016;03.09.2016;100000828;5828
397;100001109;CARDSYSTEM;1;6109;1;active;10.03.2013;10.03.2013;19.03.2013;100001109;6109
398;100000277;CARDSYSTEM;1;5277;1;active;20.06.2013;20.06.2013;25.06.2013;100000277;5277
399;100000829;CARDSYSTEM;1;5829;1;active;31.12.2012;31.12.2012;05.01.2013;100000829;5829
400;100000278;CARDSYSTEM;1;5278;1;active;18.10.2015;18.10.2015;24.10.2015;100000278;5278
401;100001110;CARDSYSTEM;1;6110;1;active;14.10.2016;14.10.2016;22.10.2016;100001110;6110
402;100000279;CARDSYSTEM;1;5279;1;active;18.01.2015;18.01.2015;27.01.2015;100000279;5279
403;100000830;CARDSYSTEM;1;5830;1;active;10.10.2013;10.10.2013;18.10.2013;100000830;5830
404;100001111;CARDSYSTEM;1;6111;1;active;22.05.2014;22.05.2014;28.05.2014;100001111;6111
405;100000280;CARDSYSTEM;1;5280;1;active;02.03.2015;02.03.2015;07.03.2015;100000280;5280
406;100000831;CARDSYSTEM;1;5831;1;active;11.06.2015;11.06.2015;18.06.2015;100000831;5831
407;100001112;CARDSYSTEM;1;6112;1;active;28.09.2015;28.09.2015;07.10.2015;100001112;6112
408;100000281;CARDSYSTEM;1;5281;1;active;23.01.2014;23.01.2014;31.01.2014;100000281;5281
409;100000832;CARDSYSTEM;1;5832;1;active;26.09.2014;26.09.2014;02.10.2014;100000832;5832
410;100001113;CARDSYSTEM;1;6113;1;active;11.01.2015;11.01.2015;20.01.2015;100001113;6113
411;100000282;CARDSYSTEM;1;5282;1;active;08.02.2013;08.02.2013;14.02.2013;100000282;5282
412;100000833;CARDSYSTEM;1;5833;1;active;13.05.2013;13.05.2013;21.05.2013;100000833;5833
413;100001114;CARDSYSTEM;1;6114;1;active;09.10.2016;09.10.2016;16.10.2016;100001114;6114
414;100000283;CARDSYSTEM;1;5283;1;active;10.04.2012;10.04.2012;19.04.2012;100000283;5283
415;100000834;CARDSYSTEM;1;5834;1;active;14.08.2015;14.08.2015;19.08.2015;100000834;5834
416;100001115;CARDSYSTEM;1;6115;1;active;01.03.2014;01.03.2014;07.03.2014;100001115;6115
417;100000284;CARDSYSTEM;1;5284;1;active;03.08.2015;03.08.2015;12.08.2015;100000284;5284
418;100000835;CARDSYSTEM;1;5835;1;active;24.11.2014;24.11.2014;01.12.2014;100000835;5835
419;100001116;CARDSYSTEM;1;6116;1;active;25.02.2016;25.02.2016;03.03.2016;100001116;6116
420;100000836;CARDSYSTEM;1;5836;1;active;21.12.2012;21.12.2012;30.12.2012;100000836;5836
421;100000285;CARDSYSTEM;1;5285;1;active;01.12.2015;01.12.2015;09.12.2015;100000285;5285
422;100000837;CARDSYSTEM;1;5837;1;active;17.04.2016;17.04.2016;24.04.2016;100000837;5837
423;100000286;CARDSYSTEM;1;5286;1;active;26.06.2016;26.06.2016;03.07.2016;100000286;5286
424;100001117;CARDSYSTEM;1;6117;1;active;23.11.2015;23.11.2015;28.11.2015;100001117;6117
425;100000838;CARDSYSTEM;1;5838;1;active;13.08.2015;13.08.2015;21.08.2015;100000838;5838
426;100000287;CARDSYSTEM;1;5287;1;active;19.03.2013;19.03.2013;26.03.2013;100000287;5287
427;100001118;CARDSYSTEM;1;6118;1;active;27.06.2012;27.06.2012;04.07.2012;100001118;6118
428;100000839;CARDSYSTEM;1;5839;1;active;07.12.2013;07.12.2013;14.12.2013;100000839;5839
429;100000288;CARDSYSTEM;1;5288;1;active;24.10.2012;24.10.2012;29.10.2012;100000288;5288
430;100001119;CARDSYSTEM;1;6119;1;active;18.08.2016;18.08.2016;27.08.2016;100001119;6119
431;100000840;CARDSYSTEM;1;5840;1;active;07.07.2015;07.07.2015;15.07.2015;100000840;5840
432;100000289;CARDSYSTEM;1;5289;1;active;11.07.2012;11.07.2012;18.07.2012;100000289;5289
433;100001120;CARDSYSTEM;1;6120;1;active;10.02.2016;10.02.2016;19.02.2016;100001120;6120
434;100000841;CARDSYSTEM;1;5841;1;active;28.07.2015;28.07.2015;05.08.2015;100000841;5841
435;100000290;CARDSYSTEM;1;5290;1;active;01.08.2012;01.08.2012;07.08.2012;100000290;5290
436;100001121;CARDSYSTEM;1;6121;1;active;29.10.2015;29.10.2015;04.11.2015;100001121;6121
437;100000842;CARDSYSTEM;1;5842;1;active;31.07.2013;31.07.2013;08.08.2013;100000842;5842
438;100000291;CARDSYSTEM;1;5291;1;active;04.06.2012;04.06.2012;09.06.2012;100000291;5291
439;100001122;CARDSYSTEM;1;6122;1;active;25.11.2013;25.11.2013;30.11.2013;100001122;6122
440;100000843;CARDSYSTEM;1;5843;1;active;02.08.2015;02.08.2015;07.08.2015;100000843;5843
441;100000292;CARDSYSTEM;1;5292;1;active;15.08.2013;15.08.2013;24.08.2013;100000292;5292
442;100001123;CARDSYSTEM;1;6123;1;active;15.07.2015;15.07.2015;21.07.2015;100001123;6123
443;100000844;CARDSYSTEM;1;5844;1;active;24.11.2012;24.11.2012;03.12.2012;100000844;5844
444;100000293;CARDSYSTEM;1;5293;1;active;26.03.2016;26.03.2016;01.04.2016;100000293;5293
445;100001124;CARDSYSTEM;1;6124;1;active;20.04.2012;20.04.2012;25.04.2012;100001124;6124
446;100000845;CARDSYSTEM;1;5845;1;active;11.10.2015;11.10.2015;18.10.2015;100000845;5845
447;100000294;CARDSYSTEM;1;5294;1;active;17.08.2012;17.08.2012;22.08.2012;100000294;5294
448;100000846;CARDSYSTEM;1;5846;1;active;24.01.2014;24.01.2014;30.01.2014;100000846;5846
449;100001125;CARDSYSTEM;1;6125;1;active;25.06.2014;25.06.2014;02.07.2014;100001125;6125
450;100000295;CARDSYSTEM;1;5295;1;active;12.12.2014;12.12.2014;21.12.2014;100000295;5295
451;100000847;CARDSYSTEM;1;5847;1;active;13.01.2016;13.01.2016;19.01.2016;100000847;5847
452;100000296;CARDSYSTEM;1;5296;1;active;06.11.2016;06.11.2016;15.11.2016;100000296;5296
453;100001126;CARDSYSTEM;1;6126;1;active;11.07.2016;11.07.2016;18.07.2016;100001126;6126
454;100000297;CARDSYSTEM;1;5297;1;active;16.02.2012;16.02.2012;23.02.2012;100000297;5297
455;100000848;CARDSYSTEM;1;5848;1;active;09.02.2015;09.02.2015;16.02.2015;100000848;5848
456;100000298;CARDSYSTEM;1;5298;1;active;01.02.2013;01.02.2013;09.02.2013;100000298;5298
457;100001127;CARDSYSTEM;1;6127;1;active;18.10.2013;18.10.2013;27.10.2013;100001127;6127
458;100000849;CARDSYSTEM;1;5849;1;active;04.08.2015;04.08.2015;09.08.2015;100000849;5849
459;100000299;CARDSYSTEM;1;5299;1;active;19.06.2013;19.06.2013;26.06.2013;100000299;5299
460;100001128;CARDSYSTEM;1;6128;1;active;19.03.2017;19.03.2017;26.03.2017;100001128;6128
461;100000300;CARDSYSTEM;1;5300;1;active;14.06.2016;14.06.2016;21.06.2016;100000300;5300
462;100000850;CARDSYSTEM;1;5850;1;active;19.06.2014;19.06.2014;28.06.2014;100000850;5850
463;100000301;CARDSYSTEM;1;5301;1;active;13.10.2014;13.10.2014;19.10.2014;100000301;5301
464;100001129;CARDSYSTEM;1;6129;1;active;19.07.2016;19.07.2016;27.07.2016;100001129;6129
465;100000851;CARDSYSTEM;1;5851;1;active;27.11.2014;27.11.2014;06.12.2014;100000851;5851
466;100000302;CARDSYSTEM;1;5302;1;active;02.10.2012;02.10.2012;11.10.2012;100000302;5302
467;100000303;CARDSYSTEM;1;5303;1;active;01.06.2014;01.06.2014;10.06.2014;100000303;5303
468;100001130;CARDSYSTEM;1;6130;1;active;04.06.2013;04.06.2013;11.06.2013;100001130;6130
469;100000852;CARDSYSTEM;1;5852;1;active;11.06.2013;11.06.2013;18.06.2013;100000852;5852
470;100000304;CARDSYSTEM;1;5304;1;active;13.02.2016;13.02.2016;22.02.2016;100000304;5304
471;100000853;CARDSYSTEM;1;5853;1;active;15.11.2016;15.11.2016;22.11.2016;100000853;5853
472;100001131;CARDSYSTEM;1;6131;1;active;04.06.2012;04.06.2012;12.06.2012;100001131;6131
473;100000305;CARDSYSTEM;1;5305;1;active;22.01.2017;22.01.2017;27.01.2017;100000305;5305
474;100000854;CARDSYSTEM;1;5854;1;active;04.07.2016;04.07.2016;10.07.2016;100000854;5854
475;100001132;CARDSYSTEM;1;6132;1;active;30.01.2016;30.01.2016;05.02.2016;100001132;6132
476;100000306;CARDSYSTEM;1;5306;1;active;31.07.2012;31.07.2012;08.08.2012;100000306;5306
477;100000855;CARDSYSTEM;1;5855;1;active;16.02.2014;16.02.2014;24.02.2014;100000855;5855
478;100001133;CARDSYSTEM;1;6133;1;active;16.02.2012;16.02.2012;21.02.2012;100001133;6133
479;100000307;CARDSYSTEM;1;5307;1;active;08.12.2015;08.12.2015;14.12.2015;100000307;5307
480;100000856;CARDSYSTEM;1;5856;1;active;04.09.2015;04.09.2015;10.09.2015;100000856;5856
481;100001134;CARDSYSTEM;1;6134;1;active;18.05.2016;18.05.2016;25.05.2016;100001134;6134
482;100000308;CARDSYSTEM;1;5308;1;active;03.01.2015;03.01.2015;08.01.2015;100000308;5308
483;100000857;CARDSYSTEM;1;5857;1;active;01.01.2017;01.01.2017;09.01.2017;100000857;5857
484;100001135;CARDSYSTEM;1;6135;1;active;16.02.2017;16.02.2017;24.02.2017;100001135;6135
485;100000309;CARDSYSTEM;1;5309;1;active;02.06.2015;02.06.2015;11.06.2015;100000309;5309
486;100000858;CARDSYSTEM;1;5858;1;active;14.04.2012;14.04.2012;20.04.2012;100000858;5858
487;100001136;CARDSYSTEM;1;6136;1;active;19.07.2014;19.07.2014;24.07.2014;100001136;6136
488;100000310;CARDSYSTEM;1;5310;1;active;17.05.2017;17.05.2017;22.05.2017;100000310;5310
489;100000859;CARDSYSTEM;1;5859;1;active;08.10.2013;08.10.2013;14.10.2013;100000859;5859
490;100001137;CARDSYSTEM;1;6137;1;active;22.02.2012;22.02.2012;29.02.2012;100001137;6137
491;100000311;CARDSYSTEM;1;5311;1;active;13.08.2015;13.08.2015;19.08.2015;100000311;5311
492;100001138;CARDSYSTEM;1;6138;1;active;25.09.2012;25.09.2012;01.10.2012;100001138;6138
493;100000860;CARDSYSTEM;1;5860;1;active;23.01.2015;23.01.2015;31.01.2015;100000860;5860
494;100000312;CARDSYSTEM;1;5312;1;active;25.10.2015;25.10.2015;01.11.2015;100000312;5312
495;100001139;CARDSYSTEM;1;6139;1;active;27.10.2015;27.10.2015;04.11.2015;100001139;6139
496;100000861;CARDSYSTEM;1;5861;1;active;08.06.2014;08.06.2014;17.06.2014;100000861;5861
497;100000313;CARDSYSTEM;1;5313;1;active;05.06.2015;05.06.2015;11.06.2015;100000313;5313
498;100001140;CARDSYSTEM;1;6140;1;active;05.04.2015;05.04.2015;10.04.2015;100001140;6140
499;100000862;CARDSYSTEM;1;5862;1;active;10.03.2014;10.03.2014;15.03.2014;100000862;5862
500;100000314;CARDSYSTEM;1;5314;1;active;20.06.2015;20.06.2015;28.06.2015;100000314;5314
501;100001141;CARDSYSTEM;1;6141;1;active;29.12.2014;29.12.2014;04.01.2015;100001141;6141
502;100000564;CARDSYSTEM;1;5564;1;active;01.06.2016;01.06.2016;10.06.2016;100000564;5564
503;100000863;CARDSYSTEM;1;5863;1;active;08.08.2016;08.08.2016;13.08.2016;100000863;5863
504;100000315;CARDSYSTEM;1;5315;1;active;02.07.2013;02.07.2013;11.07.2013;100000315;5315
505;100001142;CARDSYSTEM;1;6142;1;active;15.06.2017;15.06.2017;23.06.2017;100001142;6142
506;100000864;CARDSYSTEM;1;5864;1;active;19.10.2015;19.10.2015;28.10.2015;100000864;5864
507;100001143;CARDSYSTEM;1;6143;1;active;12.01.2013;12.01.2013;18.01.2013;100001143;6143
508;100000316;CARDSYSTEM;1;5316;1;active;19.02.2017;19.02.2017;25.02.2017;100000316;5316
509;100000565;CARDSYSTEM;1;5565;1;active;09.11.2013;09.11.2013;15.11.2013;100000565;5565
510;100000865;CARDSYSTEM;1;5865;1;active;27.08.2013;27.08.2013;01.09.2013;100000865;5865
511;100001144;CARDSYSTEM;1;6144;1;active;26.11.2016;26.11.2016;01.12.2016;100001144;6144
512;100000317;CARDSYSTEM;1;5317;1;active;10.03.2013;10.03.2013;18.03.2013;100000317;5317
513;100000566;CARDSYSTEM;1;5566;1;active;23.04.2015;23.04.2015;28.04.2015;100000566;5566
514;100000866;CARDSYSTEM;1;5866;1;active;05.08.2013;05.08.2013;12.08.2013;100000866;5866
515;100001145;CARDSYSTEM;1;6145;1;active;20.07.2015;20.07.2015;28.07.2015;100001145;6145
516;100000318;CARDSYSTEM;1;5318;1;active;14.01.2016;14.01.2016;21.01.2016;100000318;5318
517;100000567;CARDSYSTEM;1;5567;1;active;26.02.2015;26.02.2015;03.03.2015;100000567;5567
518;100000867;CARDSYSTEM;1;5867;1;active;16.12.2014;16.12.2014;23.12.2014;100000867;5867
519;100001146;CARDSYSTEM;1;6146;1;active;28.08.2016;28.08.2016;06.09.2016;100001146;6146
